time, pressure
44.9299, 620.2724
45.0321, 621.8288
45.1322, 621.5175
45.232, 623.3852
45.332, 624.4747
45.434, 624.6304
45.5339, 624.786
45.6337, 626.5759
45.7358, 626.6537
45.8356, 628.0545
45.9356, 628.4436
46.0376, 629.6109
46.1376, 629.9222
46.2369, 631.7121
46.3389, 631.6342
46.4392, 633.5019
46.5392, 633.035
46.6391, 633.1907
46.7411, 635.2918
46.8411, 635.2918
46.9413, 635.3696
47.0411, 636.537
47.1432, 637.393
47.2432, 637.393
47.3431, 637.393
47.4431, 637.5486
47.5452, 637.5486
47.6451, 638.9494
47.7449, 639.0272
47.8469, 638.8716
47.9472, 640.8171
48.0471, 640.7393
48.1471, 642.607
48.2491, 642.5292
48.3491, 642.5292
48.4489, 642.5292
48.5488, 644.4747
48.6515, 644.4747
48.7514, 644.4747
48.8513, 646.0311
48.9515, 645.7977
49.0514, 645.8755
49.1533, 645.7977
49.2532, 647.5097
49.3531, 647.3541
49.4551, 647.4319
49.555, 649.2996
49.6552, 649.2218
49.7551, 649.2218
49.8572, 649.2218
49.9573, 649.2218
50.0571, 650.856
50.1592, 650.9339
50.2591, 650.9339
50.3591, 650.9339
50.4592, 651.0117
50.5611, 651.0895
50.661, 652.179
50.7609, 652.179
50.8632, 652.179
50.9633, 652.179
51.0632, 652.4125
51.1637, 652.179
51.2638, 652.2568
51.3638, 654.2802
51.4661, 653.9689
51.5661, 654.1245
51.6661, 654.2023
51.7662, 654.0467
51.8663, 653.9689
51.9686, 654.2023
52.0691, 653.9689
52.1692, 655.8366
52.2693, 656.07
52.3694, 656.1479
52.4698, 656.07
52.572, 656.2257
52.6722, 655.8366
52.7722, 656.07
52.8727, 655.9922
52.9727, 656.2257
53.0732, 656.2257
53.1734, 655.9922
53.2756, 656.07
53.3757, 657.4708
53.4765, 657.4708
53.5766, 657.7043
53.6768, 657.7821
53.7769, 657.7043
53.8772, 657.7043
53.9794, 657.6265
54.0798, 657.393
54.18, 657.393
54.28, 657.5486
54.3801, 657.4708
54.4802, 657.5486
54.5823, 657.393
54.6823, 657.7821
54.7823, 659.2607
54.8824, 657.393
54.9825, 659.4163
55.085, 657.4708
55.1851, 657.5486
55.2852, 657.4708
55.3851, 659.2607
55.4852, 659.3385
55.5874, 659.1829
55.6874, 659.1829
55.7874, 659.0272
55.8875, 659.2607
55.9891, 659.1829
56.0895, 659.1829
56.1898, 659.1829
56.2899, 659.4163
56.3903, 659.3385
56.4905, 659.2607
56.5927, 659.2607
56.6928, 659.1829
56.7929, 659.3385
56.8931, 659.4163
56.9931, 659.3385
58.0997, 659.1051
58.1998, 658.8716
58.3, 659.2607
58.3996, 658.7938
58.5018, 659.1051
58.6019, 658.9494
58.702, 659.2607
58.8041, 659.1051
58.9043, 659.1051
59.0044, 659.1829
59.1049, 659.0272
59.205, 659.1051
59.3051, 659.1051
59.407, 658.8716
59.5068, 659.0272
59.6065, 659.3385
59.7087, 659.0272
59.8087, 658.9494
59.9089, 659.1829
60.0089, 658.9494
60.1093, 659.3385
60.2095, 658.9494
60.312, 658.9494
60.412, 658.9494
60.5122, 659.2607
60.6122, 658.7938
60.7124, 659.0272
60.8139, 659.1829
60.9142, 659.1829
61.0143, 658.9494
61.1147, 658.7938
61.2149, 659.1051
61.3171, 658.8716
61.4163, 659.1829
61.5165, 659.0272
61.6187, 659.2607
61.7188, 659.2607
61.8191, 659.3385
61.9194, 659.2607
62.0195, 659.0272
62.12, 658.8716
62.2201, 659.1829
62.3222, 659.0272
62.4223, 659.2607
62.5223, 659.3385
62.6224, 659.0272
62.7225, 659.1051
62.8247, 659.2607
62.925, 659.1829
63.0251, 658.9494
63.1256, 658.9494
63.2252, 659.1829
63.3253, 658.9494
63.4275, 659.1051
63.5276, 659.1829
63.6276, 659.0272
63.7277, 659.3385
63.8299, 659.1051
63.9302, 659.1829
64.0303, 659.1829
64.1307, 658.8716
64.2309, 658.9494
64.3311, 659.0272
64.4313, 659.1829
64.5334, 658.8716
64.6335, 659.1051
64.7335, 659.2607
64.8335, 659.1829
64.9357, 659.0272
65.0358, 658.8716
65.1362, 658.8716
65.2364, 659.1051
65.3367, 658.8716
65.4368, 658.8716
65.5372, 658.8716
65.6396, 658.9494
65.7392, 658.7938
65.8381, 658.8716
65.9401, 659.1051
66.0398, 658.7938
66.1416, 658.9494
66.2412, 659.1051
66.3408, 659.0272
66.4429, 659.0272
66.5426, 659.1829
66.6423, 658.8716
66.7444, 659.0272
66.8441, 658.8716
66.9442, 658.9494
67.046, 659.1051
67.1457, 659.0272
67.2456, 659.0272
67.3473, 658.9494
67.4471, 659.0272
67.5487, 658.9494
67.6484, 658.7938
67.748, 659.0272
67.8497, 658.9494
67.9494, 659.1051
68.0512, 659.2607
68.1502, 659.2607
68.2523, 659.1051
68.3521, 658.8716
68.4519, 659.0272
68.5538, 658.7938
68.6536, 659.1051
68.7534, 659.0272
68.8552, 659.1829
68.9553, 659.1829
69.0551, 658.9494
69.157, 659.1051
69.2568, 659.0272
69.3566, 659.2607
69.4585, 659.2607
69.5583, 659.2607
69.658, 659.0272
69.7598, 659.1829
69.8595, 659.0272
69.9597, 658.4047
70.0617, 659.1051
70.1615, 657.4708
70.2613, 659.1051
70.3631, 659.1051
70.4634, 658.249
70.5628, 659.1051
70.6649, 657.5486
70.7649, 657.393
70.865, 657.393
70.9651, 659.0272
71.0673, 657.2374
71.1678, 657.4708
71.2679, 657.393
71.368, 657.0817
71.4681, 657.393
71.5682, 657.4708
71.6703, 657.7043
71.7703, 657.6265
71.8704, 657.4708
71.9706, 657.5486
72.0707, 657.1595
72.1733, 658.9494
72.2734, 659.0272
72.3735, 657.5486
72.4737, 658.7938
72.5738, 657.3152
72.6739, 657.393
72.776, 657.4708
72.8762, 657.4708
72.9758, 657.2374
73.076, 657.1595
73.1769, 657.4708
73.2771, 659.0272
73.3793, 658.8716
73.4794, 659.1051
73.5794, 659.0272
73.6796, 658.9494
73.7796, 658.6381
73.8818, 657.4708
73.982, 657.0817
74.0823, 658.7938
74.1827, 657.1595
74.2829, 657.4708
74.3831, 657.2374
74.4831, 657.393
74.585, 657.393
74.6848, 657.4708
74.7846, 657.2374
74.8868, 657.6265
74.9866, 657.0039
75.0864, 657.0039
75.1884, 657.2374
75.2883, 657.1595
75.3875, 657.0817
75.4894, 657.0039
75.5892, 657.2374
75.689, 657.3152
75.7909, 657.1595
75.8908, 657.393
75.9911, 657.1595
76.093, 657.4708
76.1928, 657.2374
76.2927, 657.5486
76.3946, 657.393
76.4948, 657.1595
76.5947, 657.0817
76.6945, 657.4708
76.7965, 657.2374
76.8965, 657.393
76.9963, 657.3152
77.0982, 657.3152
77.198, 657.5486
77.2978, 657.1595
77.3997, 657.5486
77.4995, 657.3152
77.5993, 657.1595
77.7011, 657.3152
77.8017, 657.2374
77.9017, 657.3152
78.0016, 657.5486
78.1014, 657.393
78.2033, 657.3152
78.3032, 657.3152
78.4032, 657.2374
78.5051, 657.4708
78.6049, 657.2374
78.7047, 657.2374
78.8065, 657.2374
78.9065, 657.2374
79.0063, 657.4708
79.1082, 657.393
79.2079, 657.4708
79.3077, 657.4708
79.4096, 657.1595
79.5094, 657.3152
79.6092, 657.4708
79.7111, 657.393
79.8109, 657.0817
79.9109, 657.3152
80.0128, 657.393
80.1126, 657.2374
80.2124, 657.3152
80.3148, 657.0817
80.4147, 657.4708
80.5145, 657.3152
80.6143, 657.2374
80.7163, 657.393
80.8162, 655.7588
80.9161, 655.6031
81.0181, 657.1595
81.1179, 657.0039
81.2177, 655.6809
81.3198, 657.1595
81.4196, 655.5253
81.5195, 655.7588
81.6215, 657.2374
81.7212, 655.6031
81.821, 655.6809
81.9213, 657.3152
82.0231, 657.4708
82.1229, 655.9144
82.2227, 655.9144
82.3246, 655.6031
82.4245, 655.6809
82.5263, 657.1595
82.626, 655.7588
82.7252, 655.8366
82.827, 655.5253
82.927, 655.7588
83.0288, 655.4475
83.1286, 655.7588
83.2285, 655.9144
83.3305, 655.5253
83.4303, 655.6031
83.5301, 655.6809
83.6321, 655.5253
83.7319, 655.9922
83.832, 655.5253
83.9321, 655.5253
84.034, 655.6809
84.1338, 655.8366
84.2336, 655.8366
84.3355, 655.9922
84.4353, 655.7588
84.5352, 655.8366
84.637, 655.6031
84.7368, 655.6809
84.8366, 655.6031
84.9388, 655.6031
85.0386, 655.7588
85.1378, 655.7588
85.2397, 655.6809
85.3395, 655.9144
85.4415, 655.6031
85.5413, 655.7588
85.641, 655.6809
85.7429, 655.8366
85.8427, 655.6031
85.9426, 655.8366
86.0445, 655.9144
86.1443, 655.8366
86.2446, 655.6809
86.3445, 655.5253
86.4469, 655.6809
